,Unnamed: 0,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,DateTime,gage_height_m,discharge_cms
39,,,,40,10/4/1944,,,,,13.49,13700,,,,,,,,,,,,,,,,,,,,,,,1944-10-04 00:00:00,4.111752,387.94079831040006
40,,,,41,12/7/1944,,,,,18.41,26800,,,,,,,,,,,,,,,,,,,,,,,1944-12-07 00:00:00,5.611368000000001,758.8914886656001
41,,,,42,1/8/1945,,,,,21.97,39200,,,,,,,,,,,,,,,,,,,,,,,1945-01-08 00:00:00,6.696456,1110.0203864064001
42,,,,43,2/6/1945,,,,,12.38,12000,,,,,,,,,,,,,,,,,,,,,,,1945-02-06 00:00:00,3.7734240000000003,339.80215910400005
43,,,,44,3/26/1945,,,,,11.58,9430,,,,,,,,,,,,,,,,,,,,,,,1945-03-26 00:00:00,3.5295840000000003,267.02786336256
44,,,,45,5/1/1945,,,,,14.15,14500,,,,,,,,,,,,,,,,,,,,,,,1945-05-01 00:00:00,4.31292,410.59427558400006
45,,,,46,5/3/1945,,,,,17.2,21800,,,,,,,,,,,,,,,,,,,,,,,1945-05-03 00:00:00,5.24256,617.3072557056001
46,,,,47,5/12/1945,,,,,19.48,29800,,,,,,,,,,,,,,,,,,,,,,,1945-05-12 00:00:00,5.937504000000001,843.8420284416002
47,,,,48,5/22/1945,,,,,15.96,19500,,,,,,,,,,,,,,,,,,,,,,,1945-05-22 00:00:00,4.8646080000000005,552.1785085440001
48,,,,49,5/30/1945,,,,,23.45,46300,,,,,,,,,,,,,,,,,,,,,,,1945-05-30 00:00:00,7.14756,1311.0699972096002
49,,,,50,6/23/1945,,,,,18.13,30100,,,,,,,,,,,,,,,,,,,,,,,1945-06-23 00:00:00,5.526024,852.3370824192001
50,,,,51,8/10/1945,,,,,10.94,7500,,,,,,,,,,,,,,,,,,,,,,,1945-08-10 00:00:00,3.334512,212.37634944000004
51,,,,52,10/26/1945,,,,,29.41,88600,,,,,,,,,,,,,,,,,,,,,,,1945-10-26 00:00:00,8.964168,2508.8726080512006
52,,,,53,10/27/1945,,,,,25.24,57000,,,,,,,,,,,,,,,,,,,,,,,1945-10-27 00:00:00,7.6931519999999995,1614.0602557440002
53,,,,54,11/28/1945,,,,,14.36,15500,,,,,,,,,,,,,,,,,,,,,,,1945-11-28 00:00:00,4.376928,438.91112217600005
54,,,,55,1/6/1946,,,,,13.86,13600,,,,,,,,,,,,,,,,,,,,,,,1946-01-06 00:00:00,4.224528,385.10911365120006
55,,,,56,3/5/1946,,,,,14.42,15500,,,,,,,,,,,,,,,,,,,,,,,1946-03-05 00:00:00,4.3952160000000005,438.91112217600005
56,,,,57,4/16/1946,,,,,16.66,22500,,,,,,,,,,,,,,,,,,,,,,,1946-04-16 00:00:00,5.077968,637.1290483200002
57,,,,58,6/21/1946,,,,,23.62,44600,,,,,,,,,,,,,,,,,,,,,,,1946-06-21 00:00:00,7.199376000000001,1262.9313580032
58,,,,59,7/15/1946,,,,,17.3,22500,,,,,,,,,,,,,,,,,,,,,,,1946-07-15 00:00:00,5.273040000000001,637.1290483200002
59,,,,60,9/9/1946,,,,,10.85,7630,,,,,,,,,,,,,,,,,,,,,,,1946-09-09 00:00:00,3.30708,216.05753949696003
60,,,,61,10/10/1946,,,,,9.35,4400,,,,,,,,,,,,,,,,,,,,,,,1946-10-10 00:00:00,2.84988,124.59412500480002
61,,,,62,11/27/1946,,,,,14.33,15900,,,,,,,,,,,,,,,,,,,,,,,1946-11-27 00:00:00,4.367784,450.2378608128001
62,,,,63,1/13/1947,,,,,10.83,8220,,,,,,,,,,,,,,,,,,,,,,,1947-01-13 00:00:00,3.300984,232.76447898624002
63,,,,64,2/14/1947,,,,,23.51,42500,,,,,,,,,,,,,,,,,,,,,,,1947-02-14 00:00:00,7.165848,1203.46598016
