,date,RP_flows
0,1950-01-02,117.54353268408664
1,1951-01-02,121.6144574825549
2,1952-01-02,112.44650029752664
3,1953-01-01,109.46287725850242
4,1954-01-01,112.44650029752664
5,1955-01-01,119.03732196198828
6,1956-01-01,119.03732196198828
7,1956-12-31,114.89240573199744
8,1957-12-31,116.35757568261248
9,1958-12-31,117.02652337326168
10,1959-12-31,125.4801607634048
11,1960-12-30,148.41983130987091
12,1961-12-30,153.44775849152043
13,1962-12-30,153.44775849152043
14,1963-12-30,153.44775849152043
15,1964-12-29,138.19807791929728
16,1965-12-29,138.19807791929728
17,1966-12-29,138.19807791929728
18,1967-12-29,138.19807791929728
19,1968-12-28,131.21356599654828
20,1969-12-28,139.2942214221325
21,1970-12-28,143.69764230753583
22,1971-12-28,147.6659563471949
23,1972-12-27,157.81069349929984
24,1973-12-27,157.81069349929984
25,1974-12-27,157.81069349929984
26,1975-12-27,157.81069349929984
27,1976-12-26,166.87208440873985
28,1977-12-26,169.12952110254167
29,1978-12-26,169.12952110254167
30,1979-12-26,164.03248871598166
31,1980-12-25,149.41033924695083
32,1981-12-25,156.0051164281916
33,1982-12-25,147.7932309165116
34,1983-12-25,147.7932309165116
35,1984-12-24,154.46595504605398
36,1985-12-24,164.95994106204333
37,1986-12-24,161.4139366079582
38,1987-12-24,155.1842303577182
39,1988-12-23,155.1842303577182
40,1989-12-23,147.7231950017681
41,1990-12-23,165.91205721861252
42,1991-12-23,194.2684589784034
43,1992-12-22,212.54410988694065
44,1993-12-22,212.54410988694065
45,1994-12-22,212.54410988694065
46,1995-12-22,177.0533519216896
47,1996-12-21,177.0533519216896
48,1997-12-21,177.46379495692628
49,1998-12-21,197.65461401910613
50,1999-12-21,197.65461401910613
51,2000-12-20,161.2087150903399
52,2001-12-20,165.11583495864664
53,2002-12-20,152.6682890085039
54,2003-12-20,165.11583495864664
55,2004-12-19,171.3248329151582
56,2005-12-19,171.3248329151582
57,2006-12-19,189.2907901276019
58,2007-12-19,189.2907901276019
59,2008-12-18,170.81177912111235
60,2009-12-18,181.5268087218364
61,2010-12-18,199.30127238666495
62,2011-12-18,182.5529163099281
