,date,RP_flows
0,1988-07-12,123.87431266701888
1,1989-07-12,119.4724288077325
2,1990-07-12,129.8914926823663
3,1991-07-12,143.8249168768525
4,1992-07-11,143.8249168768525
5,1993-07-11,143.8249168768525
6,1994-07-11,143.8249168768525
7,1995-07-11,138.7683703679164
8,1996-07-10,122.40672422574168
9,1997-07-10,122.40672422574168
10,1998-07-10,123.33417657180333
11,1999-07-10,126.99465833503488
12,2000-07-09,126.99465833503488
13,2001-07-09,115.59392826671233
14,2002-07-09,120.53111123988992
15,2003-07-09,120.53111123988992
16,2004-07-08,126.99465833503488
17,2005-07-08,125.0450539176606
18,2006-07-08,158.22811685826176
19,2007-07-08,158.22811685826176
20,2008-07-07,154.84196181755902
21,2009-07-07,153.4054111942306
22,2010-07-07,150.5164878804574
23,2011-07-07,173.5901806425182
24,2012-07-06,158.2122947911454
