,date,RP_flows
0,1989-10-21,134.68953453588995
1,1990-10-21,136.2819790558217
2,1991-10-21,149.74679085066498
3,1992-10-20,149.74679085066498
4,1993-10-20,149.74679085066498
5,1994-10-20,149.74679085066498
6,1995-10-20,147.17361084687747
7,1996-10-19,131.9930354795648
8,1997-10-19,131.9930354795648
9,1998-10-19,137.41860843628075
10,1999-10-19,140.55812537190826
11,2000-10-18,140.55812537190826
12,2001-10-18,123.41212352010498
13,2002-10-18,125.47224972984662
14,2003-10-18,125.47224972984662
15,2004-10-17,137.58241336644224
16,2005-10-17,137.58241336644224
17,2006-10-17,168.14389939207382
18,2007-10-17,168.14389939207382
19,2008-10-16,161.9872538635234
20,2009-10-16,158.70370958162985
21,2010-10-16,144.80076613409622
22,2011-10-16,171.17685005211305
23,2012-10-15,144.80076613409622
