,date,RP_flows
0,1997-05-04,112.9595540915725
1,1998-05-04,111.59699489976664
2,1999-05-04,112.9595540915725
3,2000-05-03,112.9595540915725
4,2001-05-03,107.30409580673066
5,2002-05-03,101.83803697239084
6,2003-05-03,101.83803697239084
7,2004-05-02,111.90482717619416
8,2005-05-02,110.41103789829248
9,2006-05-02,111.90482717619416
10,2007-05-02,114.58457345556992
11,2008-05-01,119.55433127281324
12,2009-05-01,119.55433127281324
13,2010-05-01,123.18223819197912
14,2011-05-01,131.2382298070558
15,2012-04-30,131.2382298070558
