,date,RP_flows
0,1933-09-12,445.3935161452075
1,1934-09-12,445.3935161452075
2,1935-09-12,445.3935161452075
3,1936-09-11,415.76436869224966
4,1937-09-11,402.0992216064001
5,1938-09-11,392.5780600407083
6,1939-09-11,390.5258448645248
7,1940-09-10,350.88225963572484
8,1941-09-10,361.1828906844332
9,1942-09-10,402.0992216064001
10,1943-09-10,387.94079831040006
11,1944-09-09,387.94079831040006
12,1945-09-09,400.0470064302166
13,1946-09-09,469.5663772170497
14,1947-09-09,469.5663772170497
15,1948-09-08,469.5663772170497
16,1949-09-08,469.5663772170497
17,1950-09-08,469.5663772170497
18,1951-09-08,469.5663772170497
19,1952-09-07,444.61404666219096
20,1953-09-07,444.61404666219096
21,1954-09-07,494.2720696668332
22,1955-09-07,498.3765000192001
23,1956-09-06,482.9453310300332
24,1957-09-06,482.9453310300332
25,1958-09-06,482.9453310300332
26,1959-09-06,494.2720696668332
27,1960-09-05,494.2720696668332
28,1961-09-05,482.9453310300332
29,1962-09-05,482.9453310300332
30,1963-09-05,482.9453310300332
31,1964-09-04,465.1757535918166
32,1965-09-04,441.7428068352
33,1966-09-04,441.7428068352
34,1967-09-04,447.1595380485248
35,1968-09-03,452.5762692618496
36,1969-09-03,460.5384918615083
37,1970-09-03,466.2018611799084
38,1971-09-03,493.7787934566827
39,1972-09-02,473.6708075694166
40,1973-09-02,493.7787934566827
41,1974-09-02,493.7787934566827
42,1975-09-02,528.2522855772331
43,1976-09-01,548.8535476746497
44,1977-09-01,574.5853477125249
45,1978-09-01,585.9120863493249
46,1979-09-01,637.4152415928662
47,1980-08-31,637.4152415928662
48,1981-08-31,615.787871907358
49,1982-08-31,615.787871907358
50,1983-08-31,598.0182944691414
51,1984-08-30,598.0182944691414
52,1985-08-30,615.787871907358
53,1986-08-30,676.0327192335744
54,1987-08-30,639.2208186639745
55,1988-08-29,615.787871907358
56,1989-08-29,581.8472111647488
57,1990-08-29,635.6492196895489
58,1991-08-29,677.0588268216662
59,1992-08-28,692.4899958108331
60,1993-08-28,692.4899958108331
61,1994-08-28,692.4899958108331
62,1995-08-28,677.0588268216662
63,1996-08-27,631.7914274422571
64,1997-08-27,653.0930486871083
65,1998-08-27,653.0930486871083
66,1999-08-27,659.535887488525
67,2000-08-26,624.608674325615
68,2001-08-26,548.3207162967084
69,2002-08-26,548.3207162967084
70,2003-08-26,548.3207162967084
71,2004-08-25,549.3468238848001
72,2005-08-25,549.3468238848001
73,2006-08-25,577.6636704768001
74,2007-08-25,549.3468238848001
75,2008-08-24,548.3207162967084
76,2009-08-24,529.0713102280406
77,2010-08-24,481.13975395892487
78,2011-08-24,564.3242718316076
79,2012-08-23,493.2459620787414
