,date,RP_flows
0,1945-01-04,1590.3806708823086
1,1946-01-04,1717.0665662310828
2,1947-01-04,1755.6444887040002
3,1948-01-04,1755.6444887040002
4,1949-01-03,1755.6444887040002
5,1950-01-03,1755.6444887040002
6,1951-01-03,1755.6444887040002
7,1952-01-03,1745.3834128230828
8,1953-01-02,1724.2493193477248
9,1954-01-02,1711.6498350177585
10,1955-01-02,1875.384961942878
11,1956-01-02,1872.3066391786028
12,1957-01-01,1640.8577185377585
13,1958-01-01,1685.957590147674
14,1959-01-01,1655.262779938833
15,1960-01-01,1655.262779938833
16,1960-12-31,1575.0286122287234
17,1961-12-31,1575.0286122287234
18,1962-12-31,1706.479741909509
19,1963-12-31,1706.479741909509
20,1964-12-30,1658.3411027031084
21,1965-12-30,1658.3411027031084
22,1966-12-30,1629.8567283416148
23,1967-12-30,1682.0602427325912
24,1968-12-29,1682.0602427325912
25,1969-12-29,1700.5697344860332
26,1970-12-29,1896.2421692436992
27,1971-12-29,1896.2421692436992
28,1972-12-28,1789.0430109703384
29,1973-12-28,1789.0430109703384
30,1974-12-28,1905.270054599241
31,1975-12-28,1905.270054599241
32,1976-12-27,2072.2998943242496
33,1977-12-27,2016.317698021564
34,1978-12-27,2016.317698021564
35,1979-12-27,2034.787634607215
36,1980-12-26,1788.4310692568151
37,1981-12-26,1892.7496806048557
38,1982-12-26,1892.7496806048557
39,1983-12-26,1892.7496806048557
40,1984-12-25,1986.8165231703083
41,1985-12-25,2356.9388817763715
42,1986-12-25,2217.2881984891824
43,1987-12-25,2217.2881984891824
44,1988-12-24,2217.2881984891824
45,1989-12-24,2129.338446284489
46,1990-12-24,2429.8716308664666
47,1991-12-24,2429.8716308664666
48,1992-12-23,2429.8716308664666
49,1993-12-23,2429.8716308664666
50,1994-12-23,2372.656244038405
51,1995-12-23,1962.1899410561064
52,1996-12-22,1962.1899410561064
53,1997-12-22,2132.288796447061
54,1998-12-22,2258.658250453509
55,1999-12-22,2258.658250453509
56,2000-12-21,2049.597554784529
57,2001-12-21,2251.722135441942
58,2002-12-21,2238.5898197340334
59,2003-12-21,2238.5898197340334
60,2004-12-20,2091.6679658962908
61,2005-12-20,2091.6679658962908
62,2006-12-20,2091.6679658962908
63,2007-12-20,2008.0692821490395
64,2008-12-19,1684.4382063494315
65,2009-12-19,1710.090896051725
66,2010-12-19,1720.3915271004332
67,2011-12-19,1620.5426497132078
