,date,RP_flows
0,1968-03-19,1692.3213186135083
1,1969-03-19,1786.0531056399743
2,1970-03-19,1779.8964601114242
3,1971-03-19,1857.378053497916
4,1972-03-18,1857.378053497916
5,1973-03-18,1877.160290944525
6,1974-03-18,1862.794784711241
7,1975-03-18,1954.2672736242396
8,1976-03-17,1998.1432618071085
9,1977-03-17,1998.1432618071085
10,1978-03-17,1998.1432618071085
11,1979-03-17,1987.1027164431748
12,1980-03-16,1987.1027164431748
13,1981-03-16,1820.566152928316
14,1982-03-16,1948.7714320753328
15,1983-03-16,1820.566152928316
16,1984-03-15,1820.566152928316
17,1985-03-15,1782.9747828756997
18,1986-03-15,1952.382586217549
19,1987-03-15,1836.8163465682903
20,1988-03-14,1836.8163465682903
21,1989-03-14,1836.8163465682903
22,1990-03-14,1836.8163465682903
23,1991-03-14,2198.650734134037
24,1992-03-13,2048.452781693065
25,1993-03-13,2048.452781693065
26,1994-03-13,2048.452781693065
27,1995-03-13,2048.452781693065
28,1996-03-12,1696.297776364173
29,1997-03-12,1696.297776364173
30,1998-03-12,1696.297776364173
31,1999-03-12,1726.054896418833
32,2000-03-11,1799.185421347883
33,2001-03-11,1514.4975716296408
34,2002-03-11,1570.5984334356997
35,2003-03-11,1608.189803488316
36,2004-03-10,1745.9162442010245
37,2005-03-10,1745.9162442010245
38,2006-03-10,1858.769464694456
39,2007-03-10,1858.769464694456
40,2008-03-09,1858.769464694456
41,2009-03-09,1858.769464694456
42,2010-03-09,1736.6812759081986
43,2011-03-09,1924.9638746119383
44,2012-03-08,1790.1970911601322
